function,taylor_expansion
-4*x**2,-4*x**2
-5*sin(x) + 2*sinh(x) - 2*atan(x),11*x**3/6 - 5*x
-cosh(x) + 3*asin(x),-x**4/24 + x**3/2 - x**2/2 + 3*x - 1
5*acos(x),-5*x**3/6 - 5*x + 5*pi/2
-log(x + 1) + 3*asin(x),x**4/4 + x**3/6 + x**2/2 + 2*x
5*tan(x) - 5*acos(x) + asin(x),8*x**3/3 + 11*x - 5*pi/2
-2*exp(x) - 3*log(x + 1) + 2*sinh(x),2*x**4/3 - x**3 + x**2/2 - 3*x - 2
-x**3 + 5*atan(x),-8*x**3/3 + 5*x
-4*x - 5*exp(x),-5*x**4/24 - 5*x**3/6 - 5*x**2/2 - 9*x - 5
5*exp(x) - tan(x),5*x**4/24 + x**3/2 + 5*x**2/2 + 4*x + 5
4*atan(x),-4*x**3/3 + 4*x
-2*cos(x),-x**4/12 + x**2 - 2
-5*x**2 + x,-5*x**2 + x
-3*asin(x),-x**3/2 - 3*x
-3*asin(x) - 3*atan(x),x**3/2 - 6*x
-log(x + 1) + 4*tan(x),x**4/4 + x**3 + x**2/2 + 3*x
-4*cosh(x),-x**4/6 - 2*x**2 - 4
4*sin(x) + 2*sinh(x) - acos(x),-x**3/6 + 7*x - pi/2
4*x**2 - 2*log(x + 1),x**4/2 - 2*x**3/3 + 5*x**2 - 2*x
2*x**3 + 3*log(x + 1),-3*x**4/4 + 3*x**3 - 3*x**2/2 + 3*x
x**2 + x,x**2 + x
-5*cosh(x),-5*x**4/24 - 5*x**2/2 - 5
5*cosh(x),5*x**4/24 + 5*x**2/2 + 5
5*log(x + 1) - cosh(x),-31*x**4/24 + 5*x**3/3 - 3*x**2 + 5*x - 1
5*log(x + 1),-5*x**4/4 + 5*x**3/3 - 5*x**2/2 + 5*x
3*x,3*x
-3*x**3 - tan(x),-10*x**3/3 - x
4*cosh(x) + 4*asin(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
2*log(x + 1) - sinh(x) - asin(x),-x**4/2 + x**3/3 - x**2
2*acos(x),-x**3/3 - 2*x + pi
-sin(x),x**3/6 - x
log(x + 1) + 5*tan(x),-x**4/4 + 2*x**3 - x**2/2 + 6*x
4*exp(x),x**4/6 + 2*x**3/3 + 2*x**2 + 4*x + 4
x**3 + sin(x),5*x**3/6 + x
4*exp(x) + 2*sinh(x) - 5*acos(x),x**4/6 + 11*x**3/6 + 2*x**2 + 11*x - 5*pi/2 + 4
3*tan(x) + 2*sinh(x) - acos(x),3*x**3/2 + 6*x - pi/2
-3*exp(x) + 5*tan(x) - sinh(x),-x**4/8 + x**3 - 3*x**2/2 + x - 3
x - 5*tan(x),-5*x**3/3 - 4*x
-5*sinh(x),-5*x**3/6 - 5*x
-asin(x),-x**3/6 - x
-x**3 + 4*x + 3*cos(x),x**4/8 - x**3 - 3*x**2/2 + 4*x + 3
-cos(x) - 2*cosh(x),-x**4/8 - x**2/2 - 3
-2*x**2 - 5*exp(x),-5*x**4/24 - 5*x**3/6 - 9*x**2/2 - 5*x - 5
atan(x),-x**3/3 + x
log(x + 1),-x**4/4 + x**3/3 - x**2/2 + x
9*cos(x),3*x**4/8 - 9*x**2/2 + 9
2*cosh(x) - 2*atan(x),x**4/12 + 2*x**3/3 + x**2 - 2*x + 2
4*x**2 + 5*acos(x) + 3*atan(x),-11*x**3/6 + 4*x**2 - 2*x + 5*pi/2
5*atan(x),-5*x**3/3 + 5*x
-5*x**2 + 2*sin(x) + 5*cos(x),5*x**4/24 - x**3/3 - 15*x**2/2 + 2*x + 5
-x + 3*exp(x) + 5*asin(x),x**4/8 + 4*x**3/3 + 3*x**2/2 + 7*x + 3
3*sin(x) - 2*sinh(x) + 4*asin(x),-x**3/6 + 5*x
2*x + 2*sinh(x),x**3/3 + 4*x
5*x**2 + sin(x),-x**3/6 + 5*x**2 + x
-3*x**2 + 4*sin(x),-2*x**3/3 - 3*x**2 + 4*x
4*sinh(x),2*x**3/3 + 4*x
-2*x**3 - 3*sinh(x),-5*x**3/2 - 3*x
2*x**3 - 2*x**2,2*x**3 - 2*x**2
sin(x) - 2*cosh(x) + 5*atan(x),-x**4/12 - 11*x**3/6 - x**2 + 6*x - 2
-4*atan(x),4*x**3/3 - 4*x
-5*log(x + 1),5*x**4/4 - 5*x**3/3 + 5*x**2/2 - 5*x
3*x**2 - x - 4*cos(x),-x**4/6 + 5*x**2 - x - 4
-2*x**2,-2*x**2
5*sin(x) - acos(x),-2*x**3/3 + 6*x - pi/2
5*x**3 + 2*x**2 - 2*x,5*x**3 + 2*x**2 - 2*x
4*sin(x) + cos(x),x**4/24 - 2*x**3/3 - x**2/2 + 4*x + 1
log(x + 1) + sin(x),-x**4/4 + x**3/6 - x**2/2 + 2*x
-2*sinh(x),-x**3/3 - 2*x
-2*x**3 + 4*sin(x) + 2*acos(x),-3*x**3 + 2*x + pi
-4*x,-4*x
-5*x**2 - 3*x + cos(x),x**4/24 - 11*x**2/2 - 3*x + 1
-2*acos(x) - asin(x),x**3/6 + x - pi
-2*x**2 + x - 3*acos(x),x**3/2 - 2*x**2 + 4*x - 3*pi/2
5*cos(x),5*x**4/24 - 5*x**2/2 + 5
-5*sin(x),5*x**3/6 - 5*x
3*atan(x),-x**3 + 3*x
-x - 3*acos(x),x**3/2 + 2*x - 3*pi/2
exp(x),x**4/24 + x**3/6 + x**2/2 + x + 1
-3*cos(x),-x**4/8 + 3*x**2/2 - 3
-3*sin(x) - sinh(x),x**3/3 - 4*x
-3*exp(x),-x**4/8 - x**3/2 - 3*x**2/2 - 3*x - 3
-4*sinh(x),-2*x**3/3 - 4*x
-4*tan(x) - 3*acos(x),-5*x**3/6 - x - 3*pi/2
-2*x + 4*sin(x) - sinh(x),-5*x**3/6 + x
2*log(x + 1) - 3*cos(x) + 5*atan(x),-5*x**4/8 - x**3 + x**2/2 + 7*x - 3
3*cos(x) + 5*atan(x),x**4/8 - 5*x**3/3 - 3*x**2/2 + 5*x + 3
3*cosh(x) - 5*asin(x),x**4/8 - 5*x**3/6 + 3*x**2/2 - 5*x + 3
-5*cos(x),-5*x**4/24 + 5*x**2/2 - 5
5*x**3 - 5*log(x + 1),5*x**4/4 + 10*x**3/3 + 5*x**2/2 - 5*x
-3*atan(x),x**3 - 3*x
sin(x),-x**3/6 + x
2*asin(x) + 3*atan(x),-2*x**3/3 + 5*x
4*tan(x),4*x**3/3 + 4*x
-3*acos(x) + 2*asin(x),5*x**3/6 + 5*x - 3*pi/2
4*x + 4*acos(x),-2*x**3/3 + 2*pi
-2*tan(x) + 3*atan(x),-5*x**3/3 + x
3*sin(x),-x**3/2 + 3*x
2*cos(x) - 4*cosh(x),-x**4/12 - 3*x**2 - 2
5*x + 2*exp(x),x**4/12 + x**3/3 + x**2 + 7*x + 2
